intermittent fasting,sleep quality,sport,healthy food,meditation,Negative interaction,Reading,nap,checking phone,checking internet,happiness
1,0,1,1,1,1,1,0,0,0,1
0,1,1,1,1,0,1,0,0,0,1
1,1,0,1,1,1,1,0,0,0,0
0,1,1,1,1,0,1,1,0,0,1
1,1,0,1,1,1,1,0,0,0,1
0,1,1,1,1,0,1,0,0,0,1
0,0,1,1,1,0,1,0,0,0,1
1,0,0,1,1,0,1,0,0,0,1
0,0,1,1,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,0,0,1
1,0,0,1,1,0,1,1,0,0,1
0,1,1,1,1,0,1,1,0,0,1
1,1,0,1,1,0,1,0,0,0,1
0,1,1,1,1,0,1,0,0,0,1
1,1,0,1,1,0,1,0,0,0,1
1,1,1,0,1,1,1,0,0,0,-1
1,1,0,0,1,0,1,0,0,0,1
1,0,1,0,1,0,1,1,0,0,1
1,0,0,0,1,0,1,0,0,0,1
1,1,1,1,1,0,1,0,0,0,1
1,1,0,1,1,0,1,1,0,0,1
0,1,1,1,1,0,1,1,0,0,1
0,1,1,1,1,0,1,1,1,1,1
1,1,0,1,1,0,1,0,0,0,0
1,1,1,1,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,1,1,-1
1,1,0,1,1,0,1,1,1,1,1
0,1,1,0,0,0,0,0,0,0,1
0,1,0,0,1,0,1,0,0,0,1
0,1,1,0,1,0,0,0,0,0,1
0,1,0,0,1,0,1,0,0,0,0
0,1,1,1,1,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,1
0,1,0,1,1,0,1,0,0,0,1
0,1,0,0,0,0,0,1,0,0,0
